emotion,l1_text,trial,l2_text
neutral,"This EEG window reflects neutral affective evidence.",,
joy,"This EEG window reflects joyful affective evidence.",,
sadness,"This EEG window reflects sad affective evidence.",,
fear,"This EEG window reflects fearful affective evidence.",,
disgust,"This EEG window reflects disgust-related affective evidence.",,
anger,"This EEG window reflects angry affective evidence.",,
surprise,"This EEG window reflects surprised affective evidence.",,
,,1,"The hilarious slapstick chaos of a thief reluctantly bonding with a baby leads to a peak of joyful and lighthearted laughter."
,,2,"Quiet views of traditional gardens and tranquil canals create a state of peaceful and emotionally neutral observation."
,,3,"The sight of a person consuming a live and slimy creature triggers an immediate and intense visceral reaction of revulsion."
,,4,"A mother's agonizing decision to save only one child during a disaster leads to a heart-wrenching emotional low of sorrow."
,,5,"A scene portraying a mother's verbal and physical abuse toward her young daughter sparks a strong sense of moral outrage and anger."
,,6,"Witnessing the intentional and cruel mistreatment of a dog provokes a sharp feeling of fury and indignation at the injustice."
,,7,"A poignant moment capturing the pure and innocent sorrow of a couple facing terminal illness and unavoidable loss."
,,8,"Graphic gore and over-the-top splatter from a horror comedy create an overwhelming and chaotic sense of visceral disgust."
,,9,"An instructional video demonstrating how to repair a computer IDE interface provides purely technical and emotionally neutral information."
,,10,"A high school boy experiences the pure and innocent happiness of a first crush, creating a lighthearted and joyful atmosphere."
,,11,"A couple shares warm and intimate memories before a tragic accident, capturing a nostalgic and joyful mood."
,,12,"Static shots of historical landscapes and traditional architecture offer a state of calm and objective visual appreciation."
,,13,"The host of a survival show consumes raw and unappealing internal organs in the wild, eliciting a strong feeling of disgust."
,,14,"A terminally ill father attempts to secure a future for his adopted children, creating a deeply sympathetic and sorrowful tone."
,,15,"Footage of a person violently abusing a pet induces a sudden and intense feeling of righteous anger and helplessness."
,,16,"Violent clashes and social unrest during a street protest evoke a sense of frustration and aggressive anger."
,,17,"A poignant reunion between a mother and her son after years of separation highlights the bittersweet joy and deep sorrow of lost time."
,,18,"A close-up view of a hand covered in disturbing skin lesions triggers an instinctive and powerful feeling of physical revulsion."
,,19,"Panoramic views of granite peaks and twisted pines offer a peaceful experience with no significant emotional arousal."
,,20,"A scientist receives high-level national recognition for his contributions, evoking a profound sense of joyful pride and triumph."
,,21,"Older students brutally bully a classmate in a hallway, inducing a powerful sense of moral outrage and social fury."
,,22,"A mother's agonizing breakdown in the aftermath of a disaster captures a peak of deep and heavy sadness."
,,23,"A performer becomes possessed by a malevolent spirit during a ritual, creating a state of high-intensity dread and fear."
,,24,"Steady footage of a world heritage site provides a tranquil and emotionally balanced visual experience."
,,25,"A magician performs a complex card trick that defies logic, leaving the viewer in a state of stunned amazement and surprise."
,,26,"An illusionist produces an endless stream of objects from thin air, evoking a sense of wonder and sudden surprise."
,,27,"A neutral presentation of natural wonders offers a peaceful experience with no emotional fluctuation."
,,28,"A group of friends trapped in a haunted hotel encounter supernatural entities, building a persistent and growing feeling of fear."
,,29,"The main character in Little Daddy mourns the sudden and tragic loss of his best friend, resulting in a deeply sorrowful state."
,,30,"A domestic dispute escalates into a violent outburst of rage as objects are smashed, triggering a surge of anger."
,,31,"A bride is humiliated and physically mistreated by her in-laws on her wedding day, provoking a strong emotional reaction of indignation."
,,32,"A boy with cerebral palsy faces cruel rejection and exclusion from his peers, evoking a heavy sense of sympathy and sadness."
,,33,"A woman is possessed by a vengeful spirit after using a divination board, inducing a state of sharp terror and fear."
,,34,"A neutral instructional segment on the operation of a multimedia projector provides purely functional and dry information."
,,35,"Coins disappear and reappear in a complex magic display that creates a sense of delightful surprise."
,,36,"A street magician performs an unbelievable levitation trick in public, causing an immediate reaction of awe and surprise."
